name,type,category,power,accuracy,flavor
Pound,Normal,Physical,40,100,"Pounds with fore­ legs or tail.|Pounds the foe with forelegs or tail.|A physical attack delivered with a long tail or a foreleg, etc.|The foe is physically pounded with a long tail or a foreleg, etc. |The target is physically pounded with a long tail or a foreleg, etc.|The target is physically pounded with a long tail, a foreleg, or the like."
Karate Chop,Fighting,Physical,50,100,"Has a high criti­ cal hit ratio.|A chopping attack with a high critical-hit ratio.|The foe is attacked with a sharp chop. It has a high critical-hit ratio.|The foe is attacked with a sharp chop. It has a high critical-hit ratio. |The target is attacked with a sharp chop. Critical hits land more easily.|This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Double Slap,Normal,Physical,15,85,"Repeatedly slaps 2-5 times.|Repeatedly slaps the foe 2 to 5 times.|The foe is slapped repeatedly, back and forth, two to five times.|The foe is slapped repeatedly, back and forth, two to five times in a row. |The target is slapped repeatedly, back and forth, two to five times in a row.|This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Comet Punch,Normal,Physical,18,85,"Repeatedly punches 2-5 times.|Repeatedly punches the foe 2 to 5 times.|The foe is hit with a flurry of punches that strike two to five times.|The foe is hit with a flurry of punches that strike two to five times in a row. |The target is hit with a flurry of punches that strike two to five times in a row.|This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Mega Punch,Normal,Physical,80,85,A powerful punch thrown very hard.|A strong punch thrown with incredible power.|The foe is slugged by a punch thrown with muscle-packed power.|The foe is slugged by a punch thrown with muscle-packed power. |The target is slugged by a punch thrown with muscle-packed power.
Pay Day,Normal,Physical,40,100,Throws coins. Gets them back later.|Throws coins at the foe. Money is recovered after.|Numerous coins are hurled at the foe. Money is earned after battle.|Numerous coins are hurled at the foe to inflict damage. Money is earned after battle.|Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.
Fire Punch,Fire,Physical,75,100,A fiery punch. May cause a burn.|A fiery punch that may burn the foe.|The foe is punched with a fiery fist. It may leave the foe with a burn.|The foe is punched with a fiery fist. It may leave the target with a burn. |The target is punched with a fiery fist. It may also leave the target with a burn.|The target is punched with a fiery fist. This may also leave the target with a burn.
Ice Punch,Ice,Physical,75,100,An icy punch. May cause freezing.|An icy punch that may freeze the foe.|The foe is punched with an icy fist. It may leave the foe frozen.|The foe is punched with an icy fist. It may leave the target frozen. |The target is punched with an icy fist. It may also leave the target frozen.|The target is punched with an icy fist. This may also leave the target frozen.
Thunder Punch,Electric,Physical,75,100,An electric punch. It may paralyze.|An electrified punch that may paralyze the foe.|The foe is punched with an electrified fist. It may leave the foe paralyzed.|The foe is punched with an electrified fist. It may leave the target with paralysis.|The target is punched with an electrified fist. It may also leave the target with paralysis.|The target is punched with an electrified fist. This may also leave the target with paralysis.
Scratch,Normal,Physical,40,100,"Scratches with sharp claws.|Scratches the foe with sharp claws.|Hard, pointed, and sharp claws rake the foe.|Hard, pointed, and sharp claws rake the foe to inflict damage.  |Hard, pointed, and sharp claws rake the target to inflict damage.|Hard, pointed, sharp claws rake the target to inflict damage."
