name,hp,atk,def,spatk,spdef,spd
Bulbasaur,0,0,0,1,0,0
Ivysaur,0,0,0,1,1,0
Venusaur,0,0,0,2,1,0
Mega Venusaur,0,0,0,2,1,0
Charmander,0,0,0,0,0,1
Charmeleon,0,0,0,1,0,1
Mega Charizard Y,0,0,0,3,0,0
Charizard,0,0,0,3,0,0
Mega Charizard X,0,0,0,3,0,0
Squirtle,0,0,1,0,0,0
Wartortle,0,0,1,0,1,0
Mega Blastoise,0,0,0,0,3,0
Blastoise,0,0,0,0,3,0
Caterpie,1,0,0,0,0,0
Metapod,0,0,2,0,0,0
Butterfree,0,0,0,2,1,0
Weedle,0,0,0,0,0,1
Kakuna,0,0,2,0,0,0
Beedrill,0,2,0,0,1,0
Mega Beedrill,0,2,0,0,1,0
Pidgey,0,0,0,0,0,1
Pidgeotto,0,0,0,0,0,2
Pidgeot,0,0,0,0,0,3
Mega Pidgeot,0,0,0,0,0,3
Rattata,0,0,0,0,0,1
Alolan Rattata,0,0,0,0,0,1
Alolan Raticate,0,0,0,0,0,2
Raticate,0,0,0,0,0,2
Spearow,0,0,0,0,0,1
Fearow,0,0,0,0,0,2
Ekans,0,1,0,0,0,0
Arbok,0,2,0,0,0,0
Pikachu,0,0,0,0,0,2
Alolan Raichu,0,0,0,0,0,3
Raichu,0,0,0,0,0,3
Alolan Sandshrew,0,0,1,0,0,0
Sandshrew,0,0,1,0,0,0
Sandslash,0,0,2,0,0,0
Alolan Sandslash,0,0,2,0,0,0
NidoranF,1,0,0,0,0,0
Nidorina,2,0,0,0,0,0
Nidoqueen,3,0,0,0,0,0
NidoranM,0,1,0,0,0,0
Nidorino,0,2,0,0,0,0
Nidoking,0,3,0,0,0,0
Clefairy,2,0,0,0,0,0
Clefable,3,0,0,0,0,0
Alolan Vulpix,0,0,0,0,0,1
Vulpix,0,0,0,0,0,1
Ninetales,0,0,0,0,1,1
Alolan Ninetales,0,0,0,0,0,2
Jigglypuff,2,0,0,0,0,0
Wigglytuff,3,0,0,0,0,0
Zubat,0,0,0,0,0,1
Golbat,0,0,0,0,0,2
Oddish,0,0,0,1,0,0
Gloom,0,0,0,2,0,0
Vileplume,0,0,0,3,0,0
Paras,0,1,0,0,0,0
Parasect,0,2,1,0,0,0
Venonat,0,0,0,0,1,0
Venomoth,0,0,0,1,0,1
Diglett,0,0,0,0,0,1
Alolan Diglett,0,0,0,0,0,1
Dugtrio,0,0,0,0,0,2
Alolan Dugtrio,0,2,0,0,0,0
Galarian Meowth,0,1,0,0,0,0
Alolan Meowth,0,0,0,0,0,1
Meowth,0,0,0,0,0,1
Persian,0,0,0,0,0,2
Alolan Persian,0,0,0,0,0,2
Psyduck,0,0,0,1,0,0
Golduck,0,0,0,2,0,0
Mankey,0,1,0,0,0,0
Primeape,0,2,0,0,0,0
Growlithe,0,1,0,0,0,0
Arcanine,0,2,0,0,0,0
Poliwag,0,0,0,0,0,1
Poliwhirl,0,0,0,0,0,2
Poliwrath,0,0,3,0,0,0
Abra,0,0,0,1,0,0
Kadabra,0,0,0,2,0,0
Alakazam,0,0,0,3,0,0
Alakazam,0,0,0,3,0,0
Machop,0,1,0,0,0,0
Machoke,0,2,0,0,0,0
Machamp,0,3,0,0,0,0
Bellsprout,0,1,0,0,0,0
Weepinbell,0,2,0,0,0,0
Victreebel,0,3,0,0,0,0
Tentacool,0,0,0,0,1,0
Tentacruel,0,0,0,0,2,0
Geodude,0,0,1,0,0,0
Alolan Geodude,0,0,1,0,0,0
Graveler,0,0,2,0,0,0
Alolan Graveler,0,0,2,0,0,0
Golem,0,0,3,0,0,0
Alolan Golem,0,0,3,0,0,0
Ponyta,0,0,0,0,0,1
Galarian Ponyta,0,0,0,0,0,1
Rapidash,0,0,0,0,0,2
Galarian Rapidash,0,0,0,0,0,2
Slowpoke,1,0,0,0,0,0
Galarian Slowpoke,1,0,0,0,0,0
Galarian Slowbro,0,0,2,0,0,0
Slowbro,0,0,2,0,0,0
Mega Slowbro,0,0,2,0,0,0
Magnemite,0,0,0,1,0,0
Magneton,0,0,0,2,0,0
Galarian Farfetchd,0,1,0,0,0,0
Farfetchd,0,1,0,0,0,0
Doduo,0,1,0,0,0,0
Dodrio,0,2,0,0,0,0
Seel,0,0,0,0,1,0
Dewgong,0,0,0,0,2,0
Alolan Grimer,1,0,0,0,0,0
Grimer,1,0,0,0,0,0
Alolan Muk,1,1,0,0,0,0
Muk,1,1,0,0,0,0
Shellder,0,0,1,0,0,0
Cloyster,0,0,2,0,0,0
Gastly,0,0,0,1,0,0
Haunter,0,0,0,2,0,0
Mega Gengar,0,0,0,3,0,0
Gengar,0,0,0,3,0,0
Onix,0,0,1,0,0,0
Drowzee,0,0,0,0,1,0
Hypno,0,0,0,0,2,0
Krabby,0,1,0,0,0,0
Kingler,0,2,0,0,0,0
Voltorb,0,0,0,0,0,1
Electrode,0,0,0,0,0,2
Exeggcute,0,0,1,0,0,0
Exeggutor,0,0,0,2,0,0
Alolan Exeggutor,0,0,0,2,0,0
Cubone,0,0,1,0,0,0
Marowak,0,0,2,0,0,0
Alolan Marowak,0,0,2,0,0,0
Hitmonlee,0,2,0,0,0,0
Hitmonchan,0,0,0,0,2,0
Lickitung,2,0,0,0,0,0
Koffing,0,0,1,0,0,0
Galarian Weezing,0,0,2,0,0,0
Weezing,0,0,2,0,0,0
Rhyhorn,0,0,1,0,0,0
Rhydon,0,2,0,0,0,0
Chansey,2,0,0,0,0,0
Tangela,0,0,1,0,0,0
Kangaskhan,2,0,0,0,0,0
Mega Kangaskhan,2,0,0,0,0,0
Horsea,0,0,0,1,0,0
Seadra,0,0,1,1,0,0
Goldeen,0,1,0,0,0,0
Seaking,0,2,0,0,0,0
Staryu,0,0,0,0,0,1
Starmie,0,0,0,0,0,2
Galarian Mr Mime,0,0,0,0,0,2
Mr Mime,0,0,0,0,2,0
Scyther,0,1,0,0,0,0
Jynx,0,0,0,2,0,0
Electabuzz,0,0,0,0,0,2
Magmar,0,0,0,2,0,0
Mega Pinsir,0,2,0,0,0,0
Pinsir,0,2,0,0,0,0
Tauros,0,1,0,0,0,1
Magikarp,0,0,0,0,0,1
Gyarados,0,2,0,0,0,0
Mega Gyarados,0,2,0,0,0,0
Lapras,2,0,0,0,0,0
Ditto,1,0,0,0,0,0
Eevee,0,0,0,0,1,0
Vaporeon,2,0,0,0,0,0
Jolteon,0,0,0,0,0,2
Flareon,0,2,0,0,0,0
Porygon,0,0,0,1,0,0
Omanyte,0,0,1,0,0,0
Omastar,0,0,2,0,0,0
Kabuto,0,0,1,0,0,0
Kabutops,0,2,0,0,0,0
Aerodactyl,0,0,0,0,0,2
Mega Aerodactyl,0,0,0,0,0,2
Snorlax,2,0,0,0,0,0
Articuno,0,0,0,0,3,0
Galarian Articuno,0,0,0,0,3,0
Zapdos,0,0,0,3,0,0
Galarian Zapdos,0,0,0,3,0,0
Galarian Moltres,0,0,0,0,3,0
Moltres,0,0,0,3,0,0
Dratini,0,1,0,0,0,0
Dragonair,0,2,0,0,0,0
Dragonite,0,3,0,0,0,0
Mewtwo,0,0,0,3,0,0
Mega Mewtwo X,0,0,0,3,0,0
Mega Mewtwo Y,0,0,0,3,0,0
Mew,3,0,0,0,0,0
Chikorita,0,0,0,0,1,0
Bayleef,0,0,1,0,1,0
Meganium,0,0,1,0,2,0
Cyndaquil,0,0,0,0,0,1
Quilava,0,0,0,1,0,1
Typhlosion,0,0,0,3,0,0
Totodile,0,1,0,0,0,0
Croconaw,0,1,1,0,0,0
Feraligatr,0,2,1,0,0,0
Sentret,0,1,0,0,0,0
Furret,0,0,0,0,0,2
Hoothoot,1,0,0,0,0,0
Noctowl,2,0,0,0,0,0
Ledyba,0,0,0,0,1,0
Ledian,0,0,0,0,2,0
Spinarak,0,1,0,0,0,0
Ariados,0,2,0,0,0,0
Crobat,0,0,0,0,0,3
Chinchou,1,0,0,0,0,0
Lanturn,2,0,0,0,0,0
Pichu,0,0,0,0,0,1
Cleffa,0,0,0,0,1,0
Igglybuff,1,0,0,0,0,0
Togepi,0,0,0,0,1,0
Togetic,0,0,0,0,2,0
Natu,0,0,0,1,0,0
Xatu,0,0,0,1,0,1
Mareep,0,0,0,1,0,0
Flaaffy,0,0,0,2,0,0
Mega Ampharos,0,0,0,3,0,0
Ampharos,0,0,0,3,0,0
Bellossom,0,0,0,0,3,0
Marill,2,0,0,0,0,0
Azumarill,3,0,0,0,0,0
Sudowoodo,0,0,2,0,0,0
Politoed,0,0,0,0,3,0
Hoppip,0,0,0,0,1,0
Skiploom,0,0,0,0,0,2
Jumpluff,0,0,0,0,0,3
Aipom,0,0,0,0,0,1
Sunkern,0,0,0,1,0,0
Sunflora,0,0,0,2,0,0
Yanma,0,0,0,0,0,1
Wooper,1,0,0,0,0,0
Quagsire,2,0,0,0,0,0
Espeon,0,0,0,2,0,0
Umbreon,0,0,0,0,2,0
Murkrow,0,0,0,0,0,1
Slowking,0,0,0,0,3,0
Galarian Slowking,0,0,0,0,2,0
Misdreavus,0,0,0,0,1,0
Unown,0,1,0,1,0,0
Wobbuffet,2,0,0,0,0,0
Girafarig,0,0,0,2,0,0
Pineco,0,0,1,0,0,0
Forretress,0,0,2,0,0,0
Dunsparce,1,0,0,0,0,0
Gligar,0,0,1,0,0,0
Mega Steelix,0,0,2,0,0,0
Steelix,0,0,2,0,0,0
Snubbull,0,1,0,0,0,0
Granbull,0,2,0,0,0,0
Qwilfish,0,1,0,0,0,0
Scizor,0,2,0,0,0,0
Mega Scizor,0,2,0,0,0,0
Shuckle,0,0,1,0,1,0
Mega Heracross,0,2,0,0,0,0
Heracross,0,2,0,0,0,0
Sneasel,0,0,0,0,0,1
Teddiursa,0,1,0,0,0,0
Ursaring,0,2,0,0,0,0
Slugma,0,0,0,1,0,0
Magcargo,0,0,2,0,0,0
Swinub,0,1,0,0,0,0
Piloswine,1,1,0,0,0,0
Galarian Corsola,0,0,0,0,1,0
Corsola,0,0,1,0,1,0
Remoraid,0,0,0,1,0,0
Octillery,0,1,0,1,0,0
Delibird,0,0,0,0,0,1
Mantine,0,0,0,0,2,0
Skarmory,0,0,2,0,0,0
Houndour,0,0,0,1,0,0
Houndoom,0,0,0,2,0,0
Mega Houndoom,0,0,0,2,0,0
Kingdra,0,1,0,1,1,0
Phanpy,1,0,0,0,0,0
Donphan,0,1,1,0,0,0
Porygon2,0,0,0,2,0,0
Stantler,0,1,0,0,0,0
Smeargle,0,0,0,0,0,1
Tyrogue,0,1,0,0,0,0
Hitmontop,0,0,0,0,2,0
Smoochum,0,0,0,1,0,0
Elekid,0,0,0,0,0,1
Magby,0,0,0,0,0,1
Miltank,0,0,2,0,0,0
Blissey,3,0,0,0,0,0
Raikou,0,0,0,1,0,2
Entei,1,2,0,0,0,0
Suicune,0,0,1,0,2,0
Larvitar,0,1,0,0,0,0
Pupitar,0,2,0,0,0,0
Mega Tyranitar,0,3,0,0,0,0
Tyranitar,0,3,0,0,0,0
Lugia,0,0,0,0,3,0
Ho Oh,0,0,0,0,3,0
Celebi,3,0,0,0,0,0
Treecko,0,0,0,0,0,1
Grovyle,0,0,0,0,0,2
Mega Sceptile,0,0,0,0,0,3
Sceptile,0,0,0,0,0,3
Torchic,0,0,0,1,0,0
Combusken,0,1,0,1,0,0
Mega Blaziken,0,3,0,0,0,0
Blaziken,0,3,0,0,0,0
Mudkip,0,1,0,0,0,0
Marshtomp,0,2,0,0,0,0
Swampert,0,3,0,0,0,0
Mega Swampert,0,3,0,0,0,0
Poochyena,0,1,0,0,0,0
Mightyena,0,2,0,0,0,0
Galarian Zigzagoon,0,0,0,0,0,1
Zigzagoon,0,0,0,0,0,1
Linoone,0,0,0,0,0,2
Galarian Linoone,0,0,0,0,0,2
Wurmple,1,0,0,0,0,0
Silcoon,0,0,2,0,0,0
Beautifly,0,0,0,3,0,0
Cascoon,0,0,2,0,0,0
Dustox,0,0,0,0,3,0
Lotad,0,0,0,0,1,0
Lombre,0,0,0,0,2,0
Ludicolo,0,0,0,0,3,0
Seedot,0,0,1,0,0,0
Nuzleaf,0,2,0,0,0,0
Shiftry,0,3,0,0,0,0
Taillow,0,0,0,0,0,1
Swellow,0,0,0,0,0,2
Wingull,0,0,0,0,0,1
Pelipper,0,0,2,0,0,0
Ralts,0,0,0,1,0,0
Kirlia,0,0,0,2,0,0
Mega Gardevoir,0,0,0,3,0,0
Gardevoir,0,0,0,3,0,0
Surskit,0,0,0,0,0,1
Masquerain,0,0,0,1,1,0
Shroomish,1,0,0,0,0,0
Breloom,0,2,0,0,0,0
Slakoth,1,0,0,0,0,0
Vigoroth,0,0,0,0,0,2
Slaking,3,0,0,0,0,0
Nincada,0,0,1,0,0,0
Ninjask,0,0,0,0,0,2
Shedinja,2,0,0,0,0,0
Whismur,1,0,0,0,0,0
Loudred,2,0,0,0,0,0
Exploud,3,0,0,0,0,0
Makuhita,1,0,0,0,0,0
Hariyama,2,0,0,0,0,0
Azurill,1,0,0,0,0,0
Nosepass,0,0,1,0,0,0
Skitty,0,0,0,0,0,1
Delcatty,1,0,0,0,0,1
Sableye,0,1,1,0,0,0
Mega Sableye,0,1,1,0,0,0
Mega Mawile,0,1,1,0,0,0
Mawile,0,1,1,0,0,0
Aron,0,0,1,0,0,0
Lairon,0,0,2,0,0,0
Mega Aggron,0,0,3,0,0,0
Aggron,0,0,3,0,0,0
Meditite,0,0,0,0,0,1
Mega Medicham,0,0,0,0,0,2
Medicham,0,0,0,0,0,2
Electrike,0,0,0,0,0,1
Manectric,0,0,0,0,0,2
Mega Manectric,0,0,0,0,0,2
Plusle,0,0,0,0,0,1
Minun,0,0,0,0,0,1
Volbeat,0,0,0,0,0,1
Illumise,0,0,0,0,0,1
Roselia,0,0,0,2,0,0
Gulpin,1,0,0,0,0,0
Swalot,2,0,0,0,0,0
Carvanha,0,1,0,0,0,0
Mega Sharpedo,0,2,0,0,0,0
Sharpedo,0,2,0,0,0,0
Wailmer,1,0,0,0,0,0
Wailord,2,0,0,0,0,0
Numel,0,0,0,1,0,0
Camerupt,0,1,0,1,0,0
Mega Camerupt,0,1,0,1,0,0
Torkoal,0,0,2,0,0,0
Spoink,0,0,0,0,1,0
Grumpig,0,0,0,0,2,0
Spinda,0,0,0,1,0,0
Trapinch,0,1,0,0,0,0
Vibrava,0,1,0,0,0,1
