name,forms,megas
Bulbasaur,,
Ivysaur,,
Venusaur,,Mega Venusaur
Mega Venusaur,,
Charmander,,
Charmeleon,,
Mega Charizard Y,,
Charizard,,Mega Charizard X-Mega Charizard Y
Mega Charizard X,,
Squirtle,,
Wartortle,,
Mega Blastoise,,
Blastoise,,Mega Blastoise
Caterpie,,
Metapod,,
Butterfree,,
Weedle,,
Kakuna,,
Beedrill,,Mega Beedrill
Mega Beedrill,,
Pidgey,,
Pidgeotto,,
Pidgeot,,Mega Pidgeot
Mega Pidgeot,,
Rattata,Alolan Rattata,
Alolan Rattata,Rattata,
Alolan Raticate,Raticate,
Raticate,Alolan Raticate,
Spearow,,
Fearow,,
Ekans,,
Arbok,,
Pikachu,,
Alolan Raichu,Raichu,
Raichu,Alolan Raichu,
Alolan Sandshrew,Sandshrew,
Sandshrew,Alolan Sandshrew,
Sandslash,Alolan Sandslash,
Alolan Sandslash,Sandslash,
NidoranF,,
Nidorina,,
Nidoqueen,,
NidoranM,,
Nidorino,,
Nidoking,,
Clefairy,,
Clefable,,
Alolan Vulpix,Vulpix,
Vulpix,Alolan Vulpix,
Ninetales,Alolan Ninetales,
Alolan Ninetales,Ninetales,
Jigglypuff,,
Wigglytuff,,
Zubat,,
Golbat,,
Oddish,,
Gloom,,
Vileplume,,
Paras,,
Parasect,,
Venonat,,
Venomoth,,
Diglett,Alolan Diglett,
Alolan Diglett,Diglett,
Dugtrio,Alolan Dugtrio,
Alolan Dugtrio,Dugtrio,
Galarian Meowth,Meowth-Alolan Meowth,
Alolan Meowth,Meowth-Galarian Meowth,
Meowth,Alolan Meowth-Galarian Meowth,
Persian,Alolan Persian,
Alolan Persian,Persian,
Psyduck,,
Golduck,,
Mankey,,
Primeape,,
Growlithe,,
Arcanine,,
Poliwag,,
Poliwhirl,,
Poliwrath,,
Abra,,
Kadabra,,
Alakazam,,Mega Alakazam
Alakazam,,Mega Alakazam
Machop,,
Machoke,,
Machamp,,
Bellsprout,,
Weepinbell,,
Victreebel,,
Tentacool,,
Tentacruel,,
Geodude,Alolan Geodude,
Alolan Geodude,Geodude,
Graveler,Alolan Graveler,
Alolan Graveler,Graveler,
Golem,Alolan Golem,
Alolan Golem,Golem,
Ponyta,Galarian Ponyta,
Galarian Ponyta,Ponyta,
Rapidash,Galarian Rapidash,
Galarian Rapidash,Rapidash,
Slowpoke,Galarian Slowpoke,
Galarian Slowpoke,Slowpoke,
Galarian Slowbro,Slowbro,Mega Slowbro
Slowbro,Galarian Slowbro,Mega Slowbro
Mega Slowbro,,
Magnemite,,
Magneton,,
Galarian Farfetchd,Farfetchd,
Farfetchd,Galarian Farfetchd,
Doduo,,
Dodrio,,
Seel,,
Dewgong,,
Alolan Grimer,Grimer,
Grimer,Alolan Grimer,
Alolan Muk,Muk,
Muk,Alolan Muk,
Shellder,,
Cloyster,,
Gastly,,
Haunter,,
Mega Gengar,,
Gengar,,Mega Gengar
Onix,,
Drowzee,,
Hypno,,
Krabby,,
Kingler,,
Voltorb,,
Electrode,,
Exeggcute,,
Exeggutor,Alolan Exeggutor,
Alolan Exeggutor,Exeggutor,
Cubone,,
Marowak,Alolan Marowak,
Alolan Marowak,Marowak,
Hitmonlee,,
Hitmonchan,,
Lickitung,,
Koffing,,
Galarian Weezing,Weezing,
Weezing,Galarian Weezing,
Rhyhorn,,
Rhydon,,
Chansey,,
Tangela,,
Kangaskhan,,Mega Kangaskhan
Mega Kangaskhan,,
Horsea,,
Seadra,,
Goldeen,,
Seaking,,
Staryu,,
Starmie,,
Galarian Mr Mime,Mr Mime,
Mr Mime,Galarian MrMime,
Scyther,,
Jynx,,
Electabuzz,,
Magmar,,
Mega Pinsir,,
Pinsir,,Mega Pinsir
Tauros,,
Magikarp,,
Gyarados,,Mega Gyarados
Mega Gyarados,,
Lapras,,
Ditto,,
Eevee,,
Vaporeon,,
Jolteon,,
Flareon,,
Porygon,,
Omanyte,,
Omastar,,
Kabuto,,
Kabutops,,
Aerodactyl,,Mega Aerodactyl
Mega Aerodactyl,,Mega Aerodactyl
Snorlax,,
Articuno,Galarian Articuno,
Galarian Articuno,Articuno,
Zapdos,Galarian Zapdos,
Galarian Zapdos,Zapdos,
Galarian Moltres,Moltres,
Moltres,Galarian Moltres,
Dratini,,
Dragonair,,
Dragonite,,
Mewtwo,,Mega Mewtwo X-Mega Mewtwo Y
Mega Mewtwo X,,
Mega Mewtwo Y,,
Mew,,
Chikorita,,
Bayleef,,
Meganium,,
Cyndaquil,,
Quilava,,
Typhlosion,,
Totodile,,
Croconaw,,
Feraligatr,,
Sentret,,
Furret,,
Hoothoot,,
Noctowl,,
Ledyba,,
Ledian,,
Spinarak,,
Ariados,,
Crobat,,
Chinchou,,
Lanturn,,
Pichu,,
Cleffa,,
Igglybuff,,
Togepi,,
Togetic,,
Natu,,
Xatu,,
Mareep,,
Flaaffy,,
Mega Ampharos,,
Ampharos,,Mega Ampharos
Bellossom,,
Marill,,
Azumarill,,
Sudowoodo,,
Politoed,,
Hoppip,,
Skiploom,,
Jumpluff,,
Aipom,,
Sunkern,,
Sunflora,,
Yanma,,
Wooper,,
Quagsire,,
Espeon,,
Umbreon,,
Murkrow,,
Slowking,Galarian Slowking,
Galarian Slowking,Slowking,
Misdreavus,,
Unown,,
Wobbuffet,,
Girafarig,,
Pineco,,
Forretress,,
Dunsparce,,
Gligar,,
Mega Steelix,,
Steelix,,Mega Steelix
Snubbull,,
Granbull,,
Qwilfish,,
Scizor,,Mega Scizor
Mega Scizor,,
Shuckle,,
Mega Heracross,,
Heracross,,Mega Heracross
Sneasel,,
Teddiursa,,
Ursaring,,
Slugma,,
Magcargo,,
Swinub,,
Piloswine,,
Galarian Corsola,Corsola,
Corsola,Galarian Corsola,
Remoraid,,
Octillery,,
Delibird,,
Mantine,,
Skarmory,,
Houndour,,
Houndoom,,Mega Houndoom
Mega Houndoom,,
Kingdra,,
Phanpy,,
Donphan,,
Porygon2,,
Stantler,,
Smeargle,,
Tyrogue,,
Hitmontop,,
Smoochum,,
Elekid,,
Magby,,
Miltank,,
Blissey,,
Raikou,,
Entei,,
Suicune,,
Larvitar,,
Pupitar,,
Mega Tyranitar,,
Tyranitar,,Mega Tyranitar
Lugia,,
Ho Oh,,
Celebi,,
Treecko,,
Grovyle,,
Mega Sceptile,,
Sceptile,,Mega Sceptile
Torchic,,
Combusken,,
Mega Blaziken,,
Blaziken,,Mega Blaziken
Mudkip,,
Marshtomp,,
Swampert,,Mega Swampert
Mega Swampert,,
Poochyena,,
Mightyena,,
Galarian Zigzagoon,Zigzagoon,
Zigzagoon,Galarian Zigzagoon,
Linoone,Galarian Linoone,
Galarian Linoone,Linoone,
Wurmple,,
Silcoon,,
Beautifly,,
Cascoon,,
Dustox,,
Lotad,,
Lombre,,
Ludicolo,,
Seedot,,
Nuzleaf,,
Shiftry,,
Taillow,,
Swellow,,
Wingull,,
Pelipper,,
Ralts,,
Kirlia,,
Mega Gardevoir,,
Gardevoir,,Mega Gardevoir
Surskit,,
Masquerain,,
Shroomish,,
Breloom,,
Slakoth,,
Vigoroth,,
Slaking,,
Nincada,,
Ninjask,,
Shedinja,,
Whismur,,
Loudred,,
Exploud,,
Makuhita,,
Hariyama,,
Azurill,,
Nosepass,,
Skitty,,
Delcatty,,
Sableye,,Mega Sableye
Mega Sableye,,
Mega Mawile,,
Mawile,,Mega Mawile
Aron,,
Lairon,,
Mega Aggron,,
Aggron,,Mega Aggron
Meditite,,
Mega Medicham,,
Medicham,,Mega Medicham
Electrike,,
Manectric,,Mega Manectric
Mega Manectric,,
Plusle,,
Minun,,
Volbeat,,
Illumise,,
Roselia,,
Gulpin,,
Swalot,,
Carvanha,,
Mega Sharpedo,,
Sharpedo,,Mega Sharpedo
Wailmer,,
Wailord,,
Numel,,
Camerupt,,Mega Camerupt
Mega Camerupt,,
Torkoal,,
Spoink,,
Grumpig,,
Spinda,,
Trapinch,,
Vibrava,,
Flygon,,
Cacnea,,
Cacturne,,
Swablu,,
Mega Altaria,,
Altaria,,Mega Altaria
Zangoose,,
Seviper,,
Lunatone,,
Solrock,,
Barboach,,
Whiscash,,
Corphish,,
Crawdaunt,,
Baltoy,,
Claydol,,
Lileep,,
Cradily,,
Anorith,,
Armaldo,,
Feebas,,
Milotic,,
Castform,,
Kecleon,,
Shuppet,,
Banette,,Mega Banette
Mega Banette,,
Duskull,,
Dusclops,,
Tropius,,
Chimecho,,
Mega Absol,,
Absol,,Mega Absol
Wynaut,,
Snorunt,,
Mega Glalie,,
Glalie,,Mega Glalie
Spheal,,
Sealeo,,
Walrein,,
Clamperl,,
Huntail,,
Gorebyss,,
Relicanth,,
Luvdisc,,
Bagon,,
Shelgon,,
Mega Salamence,,
Salamence,,Mega Salamence
Beldum,,
Metang,,
Metagross,,Mega Metagross
Mega Metagross,,
Regirock,,
Regice,,
Registeel,,
Mega Latias,,
Latias,,Mega Latias
Latios,,Mega Latios
Mega Latios,,
Primal Kyogre,,
Kyogre,,Primal Kyogre
Primal Groudon,,
Groudon,,Primal Groudon
Mega Rayquaza,,
Rayquaza,,Mega Rayquaza
Jirachi,,
Deoxys,Deoxys Attack-Deoxys Defense-Deoxys Speed,
Deoxys Defense,Deoxys-Deoxys Attack-Deoxys Speed,
Deoxys Attack,Deoxys-Deoxys Defense-Deoxys Speed,
Deoxys Speed,Deoxys-Deoxys Attack-Deoxys Defense,
Turtwig,,
Grotle,,
Torterra,,
Chimchar,,
Monferno,,
Infernape,,
Piplup,,
Prinplup,,
Empoleon,,
Starly,,
Staravia,,
Staraptor,,
Bidoof,,
Bibarel,,
Kricketot,,
Kricketune,,
Shinx,,
Luxio,,
Luxray,,
Budew,,
Roserade,,
Cranidos,,
Rampardos,,
Shieldon,,
Bastiodon,,
Burmy,,
Wormadam,,
Mothim,,
Combee,,
Vespiquen,,
Pachirisu,,
Buizel,,
Floatzel,,
Cherubi,,
Cherrim,,
Shellos,,
Gastrodon,,
Ambipom,,
Drifloon,,
Drifblim,,
Buneary,,
Mega Lopunny,,
Lopunny,,Mega Lopunny
Mismagius,,
Honchkrow,,
Glameow,,
Purugly,,
Chingling,,
Stunky,,
Skuntank,,
Bronzor,,
Bronzong,,
Bonsly,,
Mime Jr,,
Happiny,,
Chatot,,
Spiritomb,,
Gible,,
Gabite,,
Garchomp,,Mega Garchomp
Mega Garchomp,,
Munchlax,,
Riolu,,
Lucario,,Mega Lucario
Mega Lucario,,
Hippopotas,,
Hippowdon,,
Skorupi,,
Drapion,,
