name,normal,shiny
Bulbasaur,https://archives.bulbagarden.net/media/upload/2/21/001Bulbasaur.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhvk7d-ef6de41a-8c01-4752-8888-8034387c52b4.png
Ivysaur,https://archives.bulbagarden.net/media/upload/7/73/002Ivysaur.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhvlkd-6b29299a-9a2d-4ada-b450-18674a561126.png
Venusaur,https://archives.bulbagarden.net/media/upload/a/ae/003Venusaur.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhvlut-b84d18e2-6934-4e42-b1be-d0ad55e62c46.png
Mega Venusaur,https://archives.bulbagarden.net/media/upload/7/73/003Venusaur-Mega.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddnm92g-4c0d5515-20ba-473a-9690-ca67f3a9d51e.png
Charmander,https://archives.bulbagarden.net/media/upload/7/73/004Charmander.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhvlzt-c3b486dc-b74b-4ba1-a471-f86f7950903a.png
Charmeleon,https://archives.bulbagarden.net/media/upload/4/4a/005Charmeleon.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhvma1-2337cb17-b3be-45a9-9e77-b80f4508db22.png
Mega Charizard Y,https://archives.bulbagarden.net/media/upload/thumb/f/fd/006Charizard-Mega_Y.png/600px-006Charizard-Mega_Y.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddnm9bh-cb6c0d81-2df4-4dfa-8475-ccf4eb599aa1.png
Charizard,https://archives.bulbagarden.net/media/upload/7/7e/006Charizard.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhvmia-2c29c094-493f-41f4-a95b-d859fe38d319.png
Mega Charizard X,https://archives.bulbagarden.net/media/upload/thumb/3/36/006Charizard-Mega_X.png/600px-006Charizard-Mega_X.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddnm96v-fa1b0863-83cc-4b8e-a84e-e9aef07c3738.png
Squirtle,https://archives.bulbagarden.net/media/upload/3/39/007Squirtle.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhvmn2-9f4b92e7-9d40-49b1-b9cd-0119c3e23b68.png
Wartortle,https://archives.bulbagarden.net/media/upload/0/0c/008Wartortle.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhvmrf-6182bcc9-3688-4e61-84e8-66ea1eb3beed.png
Mega Blastoise,https://archives.bulbagarden.net/media/upload/8/85/009Blastoise-Mega.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddnm9lg-9650c2aa-db73-43e0-adff-d9ea2fd56e8b.png
Blastoise,https://archives.bulbagarden.net/media/upload/0/02/009Blastoise.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhvmvv-aa05ba57-5c15-4c0b-b52f-2563d3b2e16c.png
Caterpie,https://archives.bulbagarden.net/media/upload/5/5d/010Caterpie.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhy9e1-0b7c9b99-a9a2-413a-aa38-6de547f1b51c.png
Metapod,https://archives.bulbagarden.net/media/upload/c/cd/011Metapod.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhy9hu-bc85ea7d-95ff-4366-841a-1db77941bff6.png
Butterfree,https://archives.bulbagarden.net/media/upload/d/d1/012Butterfree.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhy9mr-196180f6-cf73-4e5f-8432-6033a9938893.png
Weedle,https://archives.bulbagarden.net/media/upload/d/df/013Weedle.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhy9q8-5f35965c-f62d-4709-b99e-81cd2d19e347.png
Kakuna,https://archives.bulbagarden.net/media/upload/f/f0/014Kakuna.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhy9sq-b31c6dee-6c95-4151-8b20-ef171b9b53c1.png
Beedrill,https://archives.bulbagarden.net/media/upload/6/61/015Beedrill.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhy9vp-3f4e2638-4ee5-4b08-9bcc-0e640b87ecc4.png
Mega Beedrill,https://archives.bulbagarden.net/media/upload/thumb/7/76/015Beedrill-Mega.png/600px-015Beedrill-Mega.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddnm9pj-558fea14-e1dd-4e9d-941d-41759f3e4beb.png/v1/fill/w_894",h_894",strp/_015_beedrill_by_tonofdirt726_ddnm9pj-pre.png
Pidgey,https://archives.bulbagarden.net/media/upload/5/55/016Pidgey.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhya0j-46108bae-3bfb-4608-940b-803a387d1d99.png
Pidgeotto,https://archives.bulbagarden.net/media/upload/7/7a/017Pidgeotto.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhya53-a75776f0-aec6-4688-9113-eb6bf53d7ecc.png
Pidgeot,https://archives.bulbagarden.net/media/upload/5/57/018Pidgeot.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhya7t-9dfbd970-5fb5-4c95-89f4-46f20439cafd.png
Mega Pidgeot,https://archives.bulbagarden.net/media/upload/5/57/018Pidgeot.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddnm9s9-c696a8f2-2775-4031-8e62-64c41b675809.png/v1/fill/w_894",h_894",strp/_018_pidgeot_by_tonofdirt726_ddnm9s9-pre.png
Rattata,https://archives.bulbagarden.net/media/upload/thumb/4/46/019Rattata.png/600px-019Rattata.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhyabc-ee9ba56c-7482-4f4f-9aad-bb84155a437a.png
Alolan Rattata,https://archives.bulbagarden.net/media/upload/thumb/9/91/019Rattata-Alola.png/600px-019Rattata-Alola.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddo0yd4-7106f1d8-0daa-44e7-8c99-729a9b4b1a8f.png/v1/fill/w_894",h_894",strp/_019_rattata_by_tonofdirt726_ddo0yd4-pre.png
Alolan Raticate,https://archives.bulbagarden.net/media/upload/thumb/7/71/020Raticate-Alola.png/600px-020Raticate-Alola.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddo0ygo-151f19e2-868d-482e-b595-d56e220cd368.png/v1/fill/w_894",h_894",strp/_020_raticate_by_tonofdirt726_ddo0ygo-pre.png
Raticate,https://archives.bulbagarden.net/media/upload/thumb/f/f4/020Raticate.png/600px-020Raticate.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhyafs-f62509bf-ce5f-4788-ba1a-4ed1eee4b02d.png
Spearow,https://archives.bulbagarden.net/media/upload/thumb/8/8b/021Spearow.png/600px-021Spearow.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhyajk-1d24c2ce-d68c-4c4f-800a-5da00a679fb3.png
Fearow,https://archives.bulbagarden.net/media/upload/thumb/a/a0/022Fearow.png/600px-022Fearow.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhybbn-4884a281-4f2b-4568-a639-4b3603ae1c39.png
Ekans,https://archives.bulbagarden.net/media/upload/thumb/f/fa/023Ekans.png/600px-023Ekans.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhyamz-c4f6229d-bed5-4af2-9077-e747bc6a2ba9.png
Arbok,https://archives.bulbagarden.net/media/upload/thumb/c/cd/024Arbok.png/600px-024Arbok.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhybhb-e6c3f805-ea27-481e-b080-0d7635ad5e9e.png
Pikachu,https://archives.bulbagarden.net/media/upload/thumb/0/0d/025Pikachu.png/600px-025Pikachu.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhybjx-ff5f04f9-f925-41ec-a1f0-406711bba852.png
Alolan Raichu,https://archives.bulbagarden.net/media/upload/thumb/3/3a/026Raichu-Alola.png/600px-026Raichu-Alola.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddo0yiu-07833b83-7f4b-443f-a2e6-d68a90d54b86.png/v1/fill/w_894",h_894",strp/_026_raichu_by_tonofdirt726_ddo0yiu-pre.png
Raichu,https://archives.bulbagarden.net/media/upload/thumb/8/88/026Raichu.png/600px-026Raichu.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhybo3-76d94e1a-dfa7-49b9-ab29-4f2568a56a36.png
Alolan Sandshrew,https://archives.bulbagarden.net/media/upload/thumb/c/c9/027Sandshrew-Alola.png/600px-027Sandshrew-Alola.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddo0ylj-b27ab51d-654b-4e20-8226-f842b5b45574.png/v1/fill/w_894",h_894",strp/_027_sandshrew_by_tonofdirt726_ddo0ylj-pre.png
Sandshrew,https://archives.bulbagarden.net/media/upload/thumb/9/9e/027Sandshrew.png/600px-027Sandshrew.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhybqw-a2a4d293-a585-4c97-bf19-73f3988db3d0.png
Sandslash,https://archives.bulbagarden.net/media/upload/thumb/0/0b/028Sandslash.png/600px-028Sandslash.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhybtq-323c1a8f-b688-493f-8b2d-dfbdd5dda00b.png
Alolan Sandslash,https://archives.bulbagarden.net/media/upload/thumb/b/bd/028Sandslash-Alola.png/600px-028Sandslash-Alola.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddo0ynq-9bc807e9-f3eb-4449-bcd3-7990f6beac95.png/v1/fill/w_894",h_894",strp/_028_sandslash_by_tonofdirt726_ddo0ynq-pre.png
NidoranF,https://archives.bulbagarden.net/media/upload/thumb/8/81/029Nidoran.png/600px-029Nidoran.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhybwt-c19e3198-3cd1-4872-8780-1e4fa5d885d4.png
Nidorina,https://archives.bulbagarden.net/media/upload/thumb/c/cd/030Nidorina.png/600px-030Nidorina.png,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/i/e48d6b9d-3b1d-46a0-a254-3a448ec3a8a5/ddhyc4q-f66ec899-3d0a-429b-b2df-c8d44a29ea94.png
