name,abilities,moves,levels,tms,trs
Bulbasaur,Overgrow-Chlorophyll,Growl-Tackle-Vine Whip-Growth-Leech Seed-Razor Leaf-Poison Powder-Sleep Powder-Seed Bomb-Take Down-Sweet Scent-Synthesis-Worry Seed-Double Edge-Solar Beam,1-1-3-6-9-12-15-15-18-21-24-27-30-33-36,1-6-9-10-11-16-17-20-21-22-27-32-36-42-44-45-48-49-53-75-86-87-88-90-96-100,0-1-17-20-22-26-27-59-65-71-72-77-85
Ivysaur,Overgrow-Chlorophyll,Growl-Growth-Tackle-Vine Whip-Leech Seed-Razor Leaf-Poison Powder-Sleep Powder-Seed Bomb-Take Down-Sweet Scent-Synthesis-Worry Seed-Double Edge-Solar Beam,1-1-1-1-9-12-15-15-20-25-30-35-40-45-50,1-6-9-10-11-16-17-20-21-22-27-32-36-42-44-45-48-49-53-75-86-87-88-90-96-100,0-1-17-20-22-26-27-59-65-71-72-77-85
Venusaur,Overgrow-Chlorophyll,Growl-Growth-Petal Blizzard-Petal Dance-Tackle-Vine Whip-Leech Seed-Razor Leaf-Poison Powder-Sleep Powder-Seed Bomb-Take Down-Sweet Scent-Synthesis-Worry Seed-Double Edge-Solar Beam,1-1-1-1-1-1-9-12-15-15-20-25-30-37-44-51-58,1-5-6-9-10-11-15-16-17-20-21-22-26-27-32-36-42-44-45-48-49-53-68-75-78-86-87-88-90-96-100,0-1-10-17-20-22-24-26-27-59-65-67-71-72-77-85
Mega Venusaur,Thick Fat,Growl-Growth-Petal Blizzard-Petal Dance-Tackle-Vine Whip-Leech Seed-Razor Leaf-Poison Powder-Sleep Powder-Seed Bomb-Take Down-Sweet Scent-Synthesis-Worry Seed-Double Edge-Solar Beam,1-1-1-1-1-1-9-12-15-15-20-25-30-37-44-51-58,1-5-6-9-10-11-15-16-17-20-21-22-26-27-32-36-42-44-45-48-49-53-68-75-78-86-87-88-90-96-100,0-1-10-17-20-22-24-26-27-59-65-67-71-72-77-85
Charmander,Blaze-Solar Power,Growl-Scratch-Ember-Smokescreen-Dragon Breath-Fire Fang-Slash-Flamethrower-Scary Face-Fire Spin-Inferno-Flare Blitz,1-1-4-8-12-17-20-24-28-32-36-40,1-2-6-10-11-17-21-27-31-32-35-38-39-40-42-43-44-45-48-49-50-56-61-65-75-80-87-88-90-100,0-1-2-15-20-24-26-27-31-32-36-43-47-51-55-62-85
Charmeleon,Blaze-Solar Power,Ember-Growl-Scratch-Smokescreen-Dragon Breath-Fire Fang-Slash-Flamethrower-Scary Face-Fire Spin-Inferno-Flare Blitz,1-1-1-1-12-19-24-30-37-42-48-54,1-2-6-10-11-17-21-27-31-32-35-38-39-40-42-43-44-45-48-49-50-56-61-65-75-80-87-88-90-100,0-1-2-15-20-24-26-27-31-32-36-43-47-51-55-62-85
Mega Charizard Y,Drought,Air Slash-Dragon Claw-Ember-Growl-Heat Wave-Scratch-Smokescreen-Dragon Breath-Fire Fang-Slash-Flamethrower-Scary Face-Fire Spin-Inferno-Flare Blitz,1-1-1-1-1-1-1-12-19-24-30-39-46-54-62,1-2-5-6-10-11-15-17-19-21-22-26-27-31-32-35-38-39-40-42-43-44-45-48-49-50-51-52-56-58-59-61-65-68-75-76-78-80-82-87-88-90-100,0-1-2-10-15-20-24-26-27-31-32-36-41-43-47-51-55-62-64-85-88-89
Charizard,Blaze-Solar Power,Air Slash-Dragon Claw-Ember-Growl-Heat Wave-Scratch-Smokescreen-Dragon Breath-Fire Fang-Slash-Flamethrower-Scary Face-Fire Spin-Inferno-Flare Blitz,1-1-1-1-1-1-1-12-19-24-30-39-46-54-62,1-2-5-6-10-11-15-17-19-21-22-26-27-31-32-35-38-39-40-42-43-44-45-48-49-50-51-52-56-58-59-61-65-68-75-76-78-80-82-87-88-90-100,0-1-2-10-15-20-24-26-27-31-32-36-41-43-47-51-55-62-64-85-88-89
Mega Charizard X,Tough Claws,Air Slash-Dragon Claw-Ember-Growl-Heat Wave-Scratch-Smokescreen-Dragon Breath-Fire Fang-Slash-Flamethrower-Scary Face-Fire Spin-Inferno-Flare Blitz,1-1-1-1-1-1-1-12-19-24-30-39-46-54-62,1-2-5-6-10-11-15-17-19-21-22-26-27-31-32-35-38-39-40-42-43-44-45-48-49-50-51-52-56-58-59-61-65-68-75-76-78-80-82-87-88-90-100,0-1-2-10-15-20-24-26-27-31-32-36-41-43-47-51-55-62-64-85-88-89
Squirtle,Torrent-Rain Dish,Tackle-Tail Whip-Water Gun-Withdraw-Rapid Spin-Bite-Water Pulse-Protect-Rain Dance-Aqua Tail-Shell Smash-Iron Defense-Hydro Pump-Skull Bash,1-1-3-6-9-12-15-18-21-24-27-30-33-36,1-6-7-10-13-14-17-18-21-27-31-32-39-42-44-45-48-55-46-74-87-88-90-94-98-100,1-3-4-5-6-16-20-26-27-31-45-46-52-56-62-69-84-85
