name,hp,atk,def,spatk,spdef,spd
Bulbasaur,45,49,49,65,65,45
Ivysaur,60,62,63,80,80,60
Venusaur,80,82,83,100,100,80
Mega Venusaur,80,100,123,122,120,80
Charmander,39,52,43,60,50,65
Charmeleon,58,64,58,80,65,80
Mega Charizard Y,78,104,78,159,115,100
Charizard,78,84,79,109,85,100
Mega Charizard X,78,130,111,130,85,100
Squirtle,44,48,65,50,64,43
Wartortle,59,63,80,65,80,58
Mega Blastoise,79,103,120,135,115,78
Blastoise,79,83,100,85,105,78
Caterpie,45,30,35,20,20,45
Metapod,50,20,55,25,25,30
Butterfree,60,45,50,90,80,70
Weedle,40,35,30,20,20,50
Kakuna,45,25,50,25,25,35
Beedrill,65,90,40,45,80,75
Mega Beedrill,65,150,40,15,80,145
Pidgey,40,45,40,35,35,56
Pidgeotto,63,60,55,50,50,71
Pidgeot,83,80,75,70,70,101
Mega Pidgeot,83,80,80,135,80,121
Rattata,30,56,35,25,35,72
Alolan Rattata,30,56,35,25,35,72
Alolan Raticate,75,71,70,40,80,77
Raticate,55,81,60,50,70,97
Spearow,40,60,30,31,31,70
Fearow,65,90,65,61,61,100
Ekans,35,60,44,40,54,55
Arbok,60,95,69,65,79,80
Pikachu,35,55,40,50,50,90
Alolan Raichu,60,85,50,95,85,110
Raichu,60,90,55,90,80,110
Alolan Sandshrew,50,75,85,20,30,40
Sandshrew,50,75,85,20,30,40
Sandslash,75,100,110,45,55,65
Alolan Sandslash,75,100,110,45,55,65
NidoranF,55,47,52,40,40,41
Nidorina,70,62,67,55,55,56
Nidoqueen,90,92,87,75,85,76
NidoranM,46,57,40,40,40,50
Nidorino,61,72,57,55,55,65
Nidoking,81,102,77,85,75,85
Clefairy,70,45,48,60,65,35
Clefable,95,70,73,95,90,60
Alolan Vulpix,38,41,40,50,65,65
Vulpix,38,41,40,50,65,65
Ninetales,73,76,75,81,100,100
Alolan Ninetales,73,67,75,81,100,109
Jigglypuff,115,45,20,45,25,20
Wigglytuff,140,70,45,85,50,45
Zubat,40,45,35,30,40,55
Golbat,75,80,70,65,75,90
Oddish,45,50,55,75,65,30
Gloom,60,65,70,85,75,40
Vileplume,75,80,85,110,90,50
Paras,35,70,55,45,55,25
Parasect,60,95,80,60,80,30
Venonat,60,55,50,40,55,45
Venomoth,70,65,60,90,75,90
Diglett,10,55,25,35,45,95
Alolan Diglett,10,55,30,35,45,90
Dugtrio,35,100,50,50,70,120
Alolan Dugtrio,35,100,60,50,70,110
Galarian Meowth,50,65,55,40,40,40
Alolan Meowth,40,35,35,50,40,90
Meowth,40,45,35,40,40,90
Persian,65,70,60,65,65,115
Alolan Persian,65,60,60,75,65,115
Psyduck,50,52,48,65,50,55
Golduck,80,82,78,95,80,85
Mankey,40,80,35,35,45,70
Primeape,65,105,60,60,70,95
Growlithe,55,70,45,70,50,60
Arcanine,90,110,80,100,80,95
Poliwag,40,50,40,40,40,90
Poliwhirl,65,65,65,50,50,90
Poliwrath,90,95,95,70,90,70
Abra,25,20,15,105,55,90
Kadabra,40,35,30,120,70,105
Alakazam,55,50,65,175,105,150
Alakazam,55,50,45,135,95,120
Machop,70,80,50,35,35,35
Machoke,80,100,70,50,60,45
Machamp,90,130,80,65,85,55
Bellsprout,50,75,35,70,30,40
Weepinbell,65,90,50,85,45,55
Victreebel,80,105,65,100,70,70
Tentacool,40,40,35,50,100,70
Tentacruel,80,70,65,80,120,100
Geodude,40,80,100,30,30,20
Alolan Geodude,40,80,100,30,30,20
Graveler,55,95,115,45,45,35
Alolan Graveler,55,95,115,45,45,35
Golem,80,120,130,55,65,45
Alolan Golem,80,120,130,55,65,45
Ponyta,50,85,55,65,65,90
Galarian Ponyta,50,85,55,65,65,90
Rapidash,65,100,70,80,80,105
Galarian Rapidash,65,100,70,80,80,105
Slowpoke,90,65,65,40,40,15
Galarian Slowpoke,90,65,65,40,40,15
Galarian Slowbro,95,100,95,100,70,30
Slowbro,95,75,110,100,80,30
Mega Slowbro,95,75,180,130,80,30
Magnemite,25,35,70,95,55,45
Magneton,50,60,95,120,70,70
Galarian Farfetchd,52,95,55,58,62,55
Farfetchd,52,90,55,58,62,60
Doduo,35,85,45,35,35,75
Dodrio,60,110,70,60,60,110
Seel,65,45,55,45,70,45
Dewgong,90,70,80,70,95,70
Alolan Grimer,80,80,50,40,50,25
Grimer,80,80,50,40,50,25
Alolan Muk,105,105,75,65,100,50
Muk,105,105,75,65,100,50
Shellder,30,65,100,45,25,40
Cloyster,50,95,180,85,45,70
Gastly,30,35,30,100,35,80
Haunter,45,50,45,115,55,95
Mega Gengar,60,65,80,170,95,130
Gengar,60,65,60,130,75,110
Onix,35,45,160,30,45,70
Drowzee,60,48,45,43,90,42
Hypno,85,73,70,73,115,67
Krabby,30,105,90,25,25,50
Kingler,55,130,115,50,50,75
Voltorb,40,30,50,55,55,100
Electrode,60,50,70,80,80,150
Exeggcute,60,40,80,60,45,40
Exeggutor,95,95,85,125,75,55
Alolan Exeggutor,95,105,85,125,75,45
Cubone,50,50,95,40,50,35
Marowak,60,80,110,50,80,45
Alolan Marowak,60,80,110,50,80,45
Hitmonlee,50,120,53,35,110,87
Hitmonchan,50,105,79,35,110,76
Lickitung,90,55,75,60,75,30
Koffing,40,65,95,60,45,35
Galarian Weezing,65,90,120,85,70,60
Weezing,65,90,120,85,70,60
Rhyhorn,80,85,95,30,30,25
Rhydon,105,130,120,45,45,40
Chansey,250,5,5,35,105,50
Tangela,65,55,115,100,40,60
Kangaskhan,105,95,80,40,80,90
Mega Kangaskhan,105,125,100,60,100,100
Horsea,30,40,70,70,25,60
Seadra,55,65,95,95,45,85
Goldeen,45,67,60,35,50,63
Seaking,80,92,65,65,80,68
Staryu,30,45,55,70,55,85
Starmie,60,75,85,100,85,115
Galarian Mr Mime,50,65,65,90,90,100
